This is a genetic algorithm developed for the TSP problem. The first population is generated randomly, after which I prepare new, subsequent populations
by crossbreeding, mutating and randomly generating chromosomes. I generate half of the new population by crossbreeding the first half of the old population,
a quarter of the new population by mutating a quarter of the old population (the parents used in mutation are not the ones used in crossbreeding)
and the remaining quarter of the new populatin I generate randomly.

The crossovering is done by selecting 2 parents, generating 2 random indexes resembling positions from the first parent, and selecting the numbers that are between the indexes.
After making the selection I go through each element of the selection and delete it from the second parent, after which I append the whole selection to the end of the
second parent, resulting in a child.

The mutation is done by selecting 2 indexes resembling positions inside a chromosome, and reversing the elements between the indexes.

From what I observed, the bigger the population size and higher the number of generations the better the results are. I have noticed this
because the 2 lowest distances ( ~129900 ) are obtained by coupling the population size of 500 with 1000 generations.

Iterations             Popsize                   Generations               Avg distance                                     Min distance
10                     50                        10                        147477.76524279363                                135945.19748770527
10                     50                        10                        149830.96459112022                                144654.3615978088
10                     50                        10                        145987.19706768254                                142636.42813702143
10                     50                        10                        149682.1377709289                                143834.1852227398
10                     50                        10                        144913.58848176285                                140256.94771520808
10                     50                        10                        148325.58525963692                                142073.29495514664
10                     50                        10                        149891.13224389317                                145447.89152528654
10                     50                        10                        151893.8013026925                                148048.1579329711
10                     50                        10                        148255.83542519793                                146619.58862983258
10                     50                        10                        149675.458748191                                145984.92314534457
10                     50                        100                        151195.25035396728                                140832.1921375877
10                     50                        100                        144571.24325571372                                134958.36479420727
10                     50                        100                        150004.0564335952                                131819.9689541922
10                     50                        100                        151327.86620917602                                142595.1018877787
10                     50                        100                        149347.9898352272                                141228.8316485704
10                     50                        100                        143444.6167326301                                128382.45021366295
10                     50                        100                        149001.62471642502                                142362.69817758998
10                     50                        100                        147594.34201061816                                142149.0624204095
10                     50                        100                        149694.904589886                                140454.82833600667
10                     50                        100                        150509.4995848762                                141889.20568420202
10                     50                        1000                        149222.42194022803                                134540.14807943685
10                     50                        1000                        149360.16639282083                                137105.64289320918
10                     50                        1000                        149467.6332528613                                134869.40044006848
10                     50                        1000                        148242.1120565497                                130634.16291126821
10                     50                        1000                        149860.18138789418                                135028.38288575097
10                     50                        1000                        148790.0152364837                                137026.8327294285
10                     50                        1000                        148679.22729571996                                132939.97028460042
10                     50                        1000                        149302.9046168945                                135148.41515478128
10                     50                        1000                        149625.12858166508                                136409.54999748894
10                     50                        1000                        149336.27187302042                                131121.49314776526
10                     500                        10                        142927.81723198653                                137539.6878744305
10                     500                        10                        141941.7737503752                                138802.4826394763
10                     500                        10                        143142.0513388515                                138902.4928610767
10                     500                        10                        140593.64044759457                                138610.37667777116
10                     500                        10                        142858.24588095158                                137082.41975117248
10                     500                        10                        144137.54536993004                                135465.10429543984
10                     500                        10                        141569.36474450084                                137385.82451124748
10                     500                        10                        141626.13771027204                                139806.38966774824
10                     500                        10                        137779.67332053458                                129508.29549278191
10                     500                        10                        143600.49401429357                                141143.50191204826
10                     500                        100                        142125.82035878312                                130707.93160049811
10                     500                        100                        142104.79358716193                                133098.12242887495
10                     500                        100                        142822.47066956622                                132224.42033461476
10                     500                        100                        142306.57409816628                                133842.65829261072
10                     500                        100                        142562.42190637664                                134289.645056598
10                     500                        100                        141120.9515652068                                133207.45329051887
10                     500                        100                        142789.63219749936                                133121.63316605575
10                     500                        100                        142722.8237425787                                135198.9049584022
10                     500                        100                        143109.0472769886                                131267.42235015045
10                     500                        100                        142673.0904529668                                129815.34314028798
10                     500                        1000                        142059.749633338                                132219.06635787938
10                     500                        1000                        142458.57586504635                                131247.874976775
10                     500                        1000                        142502.89422626913                                130660.36283060555
10                     500                        1000                        142467.90430721067                                128295.04325468228
10                     500                        1000                        142291.6240450392                                130972.77087293591
10                     500                        1000                        142318.30633352895                                129217.9556157662
10                     500                        1000                        142467.23601834156                                129932.62080862393
10                     500                        1000                        142747.6799707377                                131176.89678018223
10                     500                        1000                        142229.14762180197                                130546.70210876515
10                     500                        1000                        142090.3899260554                                129398.01726723879
